city,code,plate_number,price,timestamp
abu-dhabi,18,7088,Price hidden,featured
abu-dhabi,20,10022,Call For Price,featured
dubai,b,6901,"AED 56,000",featured
dubai,o,2027,"AED 570,000",featured
fujairah,j,61,Call For Price,featured
dubai,i,1571,Price hidden,featured
fujairah,l,7777,"AED 369,000",featured
dubai,j,6969,"AED 650,000",16 seconds ago
dubai,aa,65020,"AED 8,500",1 minute ago
dubai,x,43242,"AED 7,500",1 minute ago
dubai,aa,66106,"AED 18,000",1 minute ago
dubai,o,91163,"AED 8,500",1 minute ago
dubai,aa,37027,"AED 8,500",1 minute ago
dubai,y,13110,"AED 14,000",1 minute ago
dubai,z,55105,"AED 15,000",1 minute ago
dubai,x,54353,"AED 7,000",1 minute ago
dubai,s,99409,"AED 8,500",1 minute ago
dubai,z,10811,"AED 18,000",1 minute ago
dubai,x,65606,"AED 12,000",1 minute ago
dubai,p,89100,"AED 16,000",1 minute ago
dubai,b,19818,"AED 12,000",1 minute ago
dubai,b,78020,"AED 8,500",1 minute ago
dubai,a,72765,"AED 10,000",1 minute ago
dubai,m,14101,"AED 15,000",1 minute ago
dubai,v,67867,"AED 15,000",1 minute ago
dubai,f,19809,"AED 10,000",1 minute ago
dubai,f,9149,"AED 32,000",1 minute ago
dubai,x,20822,"AED 8,500",1 minute ago
dubai,v,74800,"AED 15,000",1 minute ago
dubai,n,76677,"AED 45,500",9 minutes ago
dubai,p,19973,"AED 9,000",11 minutes ago
dubai,o,19956,"AED 9,000",11 minutes ago
dubai,b,90019,"AED 26,000",1 week ago
dubai,x,44324,"AED 8,500",18 hours ago
dubai,v,6861,Call For Price,1 week ago
abu-dhabi,15,8808,"AED 185,000",1 day ago
dubai,b,43,Call For Price,2 days ago
dubai,u,97897,"AED 9,500",4 days ago
dubai-classic,noc,27774,"AED 4,000",5 days ago
dubai,b,76514,"AED 19,000",1 week ago
dubai,q,79898,"AED 12,500",1 week ago
dubai,s,75775,Call For Price,1 week ago
dubai,x,64003,"AED 5,300",11 minutes ago
dubai,aa,15211,"AED 9,000",11 minutes ago
ras-al-khaimah,i,7711,"AED 85,000",13 minutes ago
dubai,e,77101,"AED 12,900",13 minutes ago
ajman,a,99339,Call For Price,14 minutes ago
ras-al-khaimah,m,555,Call For Price,14 minutes ago
ras-al-khaimah,z,2026,"AED 39,000",14 minutes ago
abu-dhabi,6,67479,"AED 6,000",17 minutes ago
ajman,k,124,Price hidden,20 minutes ago
ajman,k,252,Price hidden,20 minutes ago
umm-al-quwain,m,164,Price hidden,20 minutes ago
ajman,h,132,Price hidden,20 minutes ago
dubai,n,29559,"AED 6,200",25 minutes ago
dubai,dd,66264,"AED 3,900",25 minutes ago
dubai,d,33399,Call For Price,27 minutes ago
dubai,d,83338,Call For Price,28 minutes ago
abu-dhabi,6,1081,"AED 132,500",36 minutes ago
dubai,f,14128,"AED 2,900",37 minutes ago
dubai,v,80846,"AED 2,900",37 minutes ago
dubai,k,84805,"AED 2,900",37 minutes ago
dubai,v,8206,"AED 21,500",40 minutes ago
dubai,m,64661,"AED 6,500",41 minutes ago
dubai,z,74776,"AED 6,500",41 minutes ago
dubai,v,41446,"AED 6,500",41 minutes ago
dubai,t,58685,"AED 8,100",45 minutes ago
dubai,b,3529,"AED 33,000",54 minutes ago
abu-dhabi,1,16991,"AED 75,000",6 days ago
sharjah,3,2315,"AED 15,500",5 days ago
fujairah,i,188,"AED 215,000",1 week ago
dubai,d,98709,"AED 5,500",2 days ago
dubai,n,1138,"AED 39,500",4 days ago
dubai,z,84886,"AED 5,500",1 week ago
dubai,v,70066,"AED 21,500",3 days ago
sharjah,3,68088,"AED 11,000",5 days ago
abu-dhabi,13,1211,"AED 215,000",5 days ago
dubai,u,18871,"AED 7,000",58 minutes ago
dubai,k,18871,"AED 7,000",58 minutes ago
dubai,h,49249,"AED 8,500",59 minutes ago
dubai,m,46333,"AED 27,000",59 minutes ago
dubai,n,3798,"AED 21,900",59 minutes ago
dubai,w,10411,"AED 11,900",59 minutes ago
dubai,v,11446,"AED 12,000",59 minutes ago
dubai,w,65355,"AED 5,000",59 minutes ago
dubai,h,46333,AED 250,59 minutes ago
dubai,n,8998,AED 1,59 minutes ago
dubai,u,7787,"AED 130,000",59 minutes ago
dubai,f,46333,"AED 26,000",59 minutes ago
dubai,f,87488,"AED 5,500",59 minutes ago
dubai,z,43833,"AED 4,500",59 minutes ago
dubai,o,11410,"AED 11,900",59 minutes ago
ajman,k,66090,"AED 12,000",59 minutes ago
sharjah,3,63300,"AED 18,000",1 hour ago
sharjah,3,53300,"AED 17,500",1 hour ago
sharjah,3,43300,"AED 18,500",1 hour ago
dubai,v,10210,"AED 34,500",1 hour ago
dubai,u,5600,"AED 120,000",1 hour ago
dubai,t,5515,"AED 120,000",1 hour ago
dubai,e,30000,"AED 700,000",1 hour ago
dubai,b,12944,"AED 31,500",1 hour ago
abu-dhabi,13,11119,"AED 190,000",1 hour ago
dubai,o,21512,"AED 15,000",1 hour ago
dubai,bb,46494,"AED 8,000",1 hour ago
dubai,u,61091,"AED 6,000",1 hour ago
dubai,f,9944,"AED 160,000",1 day ago
dubai,e,1998,"AED 360,000",2 days ago
dubai,e,688,"AED 850,000",1 week ago
fujairah,m,75575,"AED 19,000",3 days ago
dubai,n,45611,Call For Price,1 week ago
dubai,f,56333,"AED 25,000",17 hours ago
ras-al-khaimah,b,1114,"AED 80,000",6 days ago
ras-al-khaimah,n,5508,"AED 12,900",1 week ago
ajman,e,884,"AED 149,000",3 days ago
dubai,z,66564,"AED 8,000",6 days ago
dubai,v,46164,"AED 12,000",1 hour ago
